Wall time,Step,Value
1596368782.910944,1,-21.0
1596368810.313837,4,-20.0
1596368822.2327938,5,-19.0
1596368955.7849393,19,-18.0
1596369256.7523813,50,-15.0
1596370195.0127378,77,-14.0
1596370580.7761793,94,-13.0
1596376645.845693,109,-12.0
1596376770.4256759,111,-9.0
1596377140.639929,120,-6.0
1596377418.9625216,129,-3.0
1596380176.821066,154,-1.0
1596380346.3636296,156,1.0
1596380495.2202785,159,3.0
1596380599.3762736,161,5.0
1596380761.5583315,164,7.0
1596381422.5566561,178,11.0
1596382008.4125874,200,14.0
1596383377.238226,202,16.0
1596383425.7160006,204,18.0
1596383654.1107488,214,19.0
1596384078.9246285,233,20.0
1596384434.0932822,250,21.0
