Wall time,Step,Value
1596368782.910944,1,-21.0
1596368791.592853,2,-21.0
1596368799.541153,3,-21.0
1596368810.313837,4,-20.0
1596368822.2327938,5,-19.0
1596368832.3149724,6,-21.0
1596368841.3720732,7,-21.0
1596368852.1521013,8,-19.0
1596368861.132031,9,-20.0
1596368872.0748553,10,-19.0
1596368880.864683,11,-21.0
1596368889.1231227,12,-21.0
1596368898.9207733,13,-19.0
1596368908.5056772,14,-19.0
1596368917.7739499,15,-20.0
1596368925.1489081,16,-21.0
1596368937.5890005,17,-20.0
1596368945.4928634,18,-21.0
1596368955.7849393,19,-18.0
1596368964.6037238,20,-19.0
1596368972.5375557,21,-20.0
1596368980.277588,22,-20.0
1596368990.6976113,23,-19.0
1596369000.694534,24,-20.0
1596369012.2248008,25,-19.0
1596369022.7045877,26,-20.0
1596369030.0136197,27,-21.0
1596369037.9226866,28,-20.0
1596369046.7364812,29,-20.0
1596369057.8496234,30,-20.0
1596369066.1705043,31,-21.0
1596369074.3325531,32,-21.0
1596369081.8288722,33,-20.0
1596369091.5628474,34,-20.0
1596369100.131928,35,-20.0
1596369109.0006514,36,-20.0
1596369119.9374826,37,-19.0
1596369128.213394,38,-21.0
1596369135.9744241,39,-20.0
1596369147.0705762,40,-20.0
1596369155.5677345,41,-21.0
1596369167.4944165,42,-19.0
1596369176.8116312,43,-21.0
1596369187.8836327,44,-21.0
1596369197.574417,45,-21.0
1596369208.62163,46,-19.0
1596369219.7602234,47,-19.0
1596369230.546229,48,-20.0
1596369241.2703109,49,-19.0
1596369256.7523813,50,-15.0
1596369806.4309094,51,-21.0
1596369817.4311767,52,-21.0
1596369828.6282573,53,-20.0
1596369840.2688258,54,-21.0
1596369858.3009927,55,-17.0
1596369874.3129523,56,-19.0
1596369887.907727,57,-18.0
1596369898.4730287,58,-20.0
1596369909.091728,59,-21.0
1596369922.517682,60,-18.0
1596369935.6399925,61,-18.0
1596369948.4616606,62,-18.0
1596369961.9939885,63,-19.0
1596369979.5317495,64,-18.0
1596369996.4327898,65,-15.0
1596370011.071418,66,-19.0
1596370025.8788068,67,-17.0
1596370042.1765275,68,-17.0
1596370055.8607364,69,-20.0
1596370068.599506,70,-18.0
1596370084.6134784,71,-17.0
1596370100.7294369,72,-20.0
1596370115.9114783,73,-18.0
1596370135.6387424,74,-16.0
1596370151.964921,75,-18.0
1596370173.039666,76,-18.0
1596370195.0127378,77,-14.0
1596370216.309647,78,-15.0
1596370241.4755406,79,-20.0
1596370282.3792448,80,-17.0
1596370315.654036,81,-18.0
1596370337.9725091,82,-15.0
1596370357.7521915,83,-19.0
1596370375.7474413,84,-18.0
1596370396.3485775,85,-14.0
1596370416.1921842,86,-16.0
1596370435.6482184,87,-16.0
1596370454.7711074,88,-17.0
1596370474.9752498,89,-18.0
1596370494.9741833,90,-18.0
