Wall time,Step,Value
1596490005.8494852,1,-21.0
1596490017.871058,3,-19.0
1596490099.1283984,17,-18.0
1596490583.856438,82,-17.0
1596490610.659345,85,-16.0
1596491123.030015,122,-15.0
1596491187.8638208,128,-14.0
1596491211.9159229,130,-13.0
1596491431.736654,148,-11.0
1596491736.7781527,154,-10.0
1596491816.994428,160,-8.0
1596491863.6772661,163,-7.0
1596491970.0039513,171,6.0
1596492405.8185344,197,11.0
1596493140.6036847,215,13.0
1596493200.6909633,218,18.0
1596493355.0697272,226,19.0
1596494990.5025773,291,20.0
1596499778.8476083,468,21.0
