Wall time,Step,Value
1596490005.8494852,1,-21.0
1596490011.5583725,2,-21.0
1596490017.871058,3,-19.0
1596490023.8361456,4,-20.0
1596490028.9452221,5,-21.0
1596490033.944426,6,-21.0
1596490040.1452403,7,-21.0
1596490046.4524424,8,-21.0
1596490052.667235,9,-21.0
1596490058.6662784,10,-21.0
1596490064.1249485,11,-21.0
1596490068.9138978,12,-21.0
1596490074.7042084,13,-20.0
1596490080.9389808,14,-20.0
1596490085.8133292,15,-21.0
1596490091.640066,16,-21.0
1596490099.1283984,17,-18.0
1596490104.8991823,18,-19.0
1596490110.0332255,19,-21.0
1596490115.6112547,20,-21.0
1596490121.7681115,21,-21.0
1596490127.0230138,22,-20.0
1596490133.2333112,23,-20.0
1596490139.1259735,24,-21.0
1596490144.5503192,25,-21.0
1596490149.853177,26,-20.0
1596490156.385103,27,-20.0
1596490162.1019711,28,-20.0
1596490167.9102278,29,-21.0
1596490174.191962,30,-20.0
1596490180.668948,31,-20.0
1596490187.6738577,32,-20.0
1596490193.237907,33,-21.0
1596490199.3598056,34,-21.0
1596490205.301071,35,-20.0
1596490214.297158,36,-18.0
1596490219.8462222,37,-21.0
1596490226.4810247,38,-19.0
1596490232.5290112,39,-20.0
1596490239.186788,40,-20.0
1596490245.655784,41,-19.0
1596490251.7811809,42,-21.0
1596490259.4457908,43,-20.0
1596490264.5658526,44,-21.0
1596490270.0719671,45,-21.0
1596490278.1600852,46,-19.0
1596490284.0547445,47,-21.0
1596490290.2400706,48,-19.0
1596490296.571724,49,-21.0
1596490303.2889361,50,-20.0
1596490359.6377635,51,-21.0
1596490365.75866,52,-20.0
1596490372.7650337,53,-20.0
1596490380.1200027,54,-19.0
1596490388.4899032,55,-19.0
1596490394.5588605,56,-21.0
1596490400.577877,57,-21.0
1596490406.5569422,58,-20.0
1596490414.4318056,59,-18.0
1596490420.9807093,60,-21.0
1596490429.1567242,61,-21.0
1596490434.9260345,62,-21.0
1596490441.186782,63,-21.0
1596490447.5548952,64,-20.0
1596490454.160733,65,-21.0
1596490460.7126336,66,-21.0
1596490469.1308718,67,-18.0
1596490475.1958392,68,-21.0
1596490482.2606468,69,-20.0
1596490488.9488895,70,-21.0
1596490494.5718687,71,-21.0
1596490501.3305376,72,-21.0
1596490509.6708806,73,-19.0
1596490516.5104427,74,-21.0
1596490523.758536,75,-21.0
1596490530.9247248,76,-19.0
1596490537.7967532,77,-20.0
1596490547.861592,78,-20.0
1596490556.6748698,79,-20.0
1596490567.5978024,80,-19.0
1596490574.9497738,81,-20.0
1596490583.856438,82,-17.0
1596490592.0554247,83,-19.0
1596490600.7263684,84,-19.0
1596490610.659345,85,-16.0
1596490620.5343919,86,-16.0
1596490629.213322,87,-19.0
1596490640.2904713,88,-17.0
1596490649.2885323,89,-18.0
1596490659.1196253,90,-17.0
1596490669.460626,91,-17.0
1596490678.0147047,92,-20.0
1596490686.9115126,93,-17.0
1596490695.6314,94,-19.0
1596490704.701389,95,-18.0
1596490714.1883855,96,-21.0
1596490726.1145492,97,-17.0
1596490733.9854162,98,-18.0
1596490744.9621823,99,-17.0
1596490755.9883935,100,-17.0
1596490904.132141,101,-19.0
1596490913.6471066,102,-19.0
1596490923.8822346,103,-19.0
1596490936.0671,104,-18.0
1596490946.4330761,105,-16.0
1596490957.7819574,106,-21.0
1596490968.6743264,107,-18.0
1596490979.888317,108,-16.0
1596490988.2962272,109,-19.0
1596491000.0421002,110,-17.0
1596491010.0569804,111,-16.0
1596491020.2861176,112,-18.0
1596491030.8983128,113,-16.0
1596491040.9481564,114,-19.0
1596491051.5428689,115,-17.0
1596491060.687267,116,-17.0
1596491068.4572568,117,-20.0
1596491078.4681716,118,-18.0
1596491090.4233234,119,-17.0
1596491100.9231448,120,-17.0
1596491111.0409167,121,-17.0
1596491123.030015,122,-15.0
1596491132.0760262,123,-19.0
1596491141.621963,124,-20.0
1596491151.961969,125,-16.0
1596491163.2788398,126,-16.0
1596491174.8219492,127,-17.0
1596491187.8638208,128,-14.0
1596491198.3551528,129,-16.0
1596491211.9159229,130,-13.0
1596491223.21881,131,-16.0
1596491232.264818,132,-20.0
1596491244.4227118,133,-17.0
1596491254.829637,134,-19.0
1596491266.451654,135,-17.0
1596491277.305063,136,-17.0
1596491288.5380337,137,-19.0
1596491302.058843,138,-13.0
1596491314.290651,139,-16.0
1596491327.554767,140,-16.0
1596491340.9756975,141,-13.0
1596491353.939805,142,-14.0
1596491366.8508267,143,-15.0
1596491380.480527,144,-15.0
1596491390.525877,145,-20.0
1596491403.901436,146,-16.0
1596491415.1014457,147,-18.0
1596491431.736654,148,-11.0
1596491447.4004784,149,-14.0
1596491459.7816231,150,-18.0
1596491695.7916343,151,-14.0
1596491706.4822981,152,-18.0
1596491720.2483327,153,-16.0
1596491736.7781527,154,-10.0
1596491746.383511,155,-20.0
1596491758.9474378,156,-15.0
1596491774.4114969,157,-15.0
1596491786.7851374,158,-15.0
1596491799.1810772,159,-17.0
1596491816.9934292,160,-8.0
1596491832.4225295,161,-15.0
1596491848.2921126,162,-15.0
1596491863.6772661,163,-7.0
