Wall time,Step,Value
1596576494.5715365,1,-21.0
1596576503.449151,2,-20.0
1596576511.2881038,3,-21.0
1596576519.2687678,4,-21.0
1596576526.8958452,5,-20.0
1596576534.376094,6,-21.0
1596576543.1226666,7,-20.0
1596576552.2643113,8,-19.0
1596576559.65067,9,-21.0
1596576567.4255743,10,-21.0
1596576573.948943,11,-21.0
1596576581.4062195,12,-20.0
1596576589.3898797,13,-20.0
1596576597.021951,14,-20.0
1596576604.9676554,15,-20.0
1596576612.4738743,16,-21.0
1596576619.0821438,17,-21.0
1596576625.6744318,18,-21.0
1596576635.0624492,19,-19.0
1596576644.0039887,20,-20.0
1596576651.7699037,21,-20.0
1596576658.2972677,22,-21.0
1596576666.59425,23,-20.0
1596576673.7938273,24,-21.0
1596576681.1691995,25,-20.0
1596576689.2467496,26,-19.0
1596576695.6792247,27,-21.0
1596576703.7777505,28,-20.0
1596576710.8404882,29,-21.0
1596576718.04506,30,-21.0
1596576725.646168,31,-21.0
1596576733.6827662,32,-21.0
1596576740.1831615,33,-21.0
1596576747.5845034,34,-21.0
1596576756.8413255,35,-20.0
1596576764.4913762,36,-20.0
1596576771.9581213,37,-21.0
1596576781.481593,38,-19.0
1596576788.8652651,39,-21.0
1596576796.7030954,40,-20.0
1596576805.377947,41,-20.0
1596576812.765305,42,-20.0
1596576821.7557876,43,-20.0
1596576828.9244015,44,-21.0
1596576836.0248468,45,-21.0
1596576842.6241267,46,-21.0
1596576850.3311105,47,-21.0
1596576857.9861553,48,-21.0
1596576865.527333,49,-21.0
1596576872.2714434,50,-21.0
1596576930.926826,51,-21.0
1596576938.6437974,52,-21.0
1596576946.1190531,53,-21.0
1596576954.1596463,54,-21.0
1596576961.1724422,55,-21.0
1596576968.6506944,56,-21.0
1596576975.6624918,57,-21.0
1596576983.9874017,58,-20.0
1596576990.7904427,59,-21.0
1596577000.1654754,60,-19.0
1596577006.9045916,61,-21.0
1596577013.6047533,62,-21.0
1596577021.9669707,63,-20.0
1596577029.1525645,64,-21.0
1596577037.0463302,65,-20.0
1596577043.7594764,66,-21.0
1596577050.7552924,67,-21.0
1596577057.919911,68,-21.0
1596577065.984477,69,-21.0
1596577073.3878157,70,-20.0
1596577082.0696592,71,-20.0
1596577091.1290612,72,-19.0
1596577099.0777624,73,-20.0
1596577105.8218725,74,-21.0
1596577113.4409595,75,-21.0
1596577121.037073,76,-21.0
1596577129.1206164,77,-21.0
1596577138.8412447,78,-19.0
1596577146.6700864,79,-20.0
1596577154.7316554,80,-20.0
1596577162.800216,81,-20.0
1596577170.880763,82,-20.0
1596577179.7603753,83,-21.0
1596577187.4373944,84,-21.0
1596577194.4651728,85,-21.0
1596577201.4979453,86,-21.0
1596577209.5075753,87,-20.0
1596577216.56432,88,-21.0
1596577225.34305,89,-20.0
1596577233.1179545,90,-21.0
1596577241.9566147,91,-19.0
1596577249.127226,92,-21.0
1596577257.5793386,93,-21.0
1596577265.547017,94,-21.0
1596577274.3137615,95,-19.0
1596577282.660997,96,-19.0
1596577291.1320865,97,-20.0
1596577300.6649344,98,-19.0
1596577310.164821,99,-20.0
1596577319.3730485,100,-19.0
1596577393.9338236,101,-20.0
1596577401.0405097,102,-21.0
1596577408.3419678,103,-21.0
1596577415.954063,104,-21.0
1596577424.2443645,105,-20.0
1596577433.3047652,106,-21.0
1596577440.6222048,107,-21.0
1596577447.9696093,108,-21.0
1596577455.3629608,109,-21.0
1596577462.9620705,110,-21.0
1596577471.01465,111,-21.0
1596577479.3538945,112,-20.0
1596577487.4614098,113,-21.0
1596577494.7788494,114,-21.0
1596577504.193835,115,-19.0
1596577513.287197,116,-19.0
1596577521.5295548,117,-20.0
1596577530.1924207,118,-20.0
1596577539.6923072,119,-21.0
1596577547.0047526,120,-21.0
1596577556.2978811,121,-19.0
1596577566.765635,122,-20.0
1596577575.7091727,123,-20.0
1596577583.962518,124,-21.0
1596577593.0668666,125,-21.0
1596577601.13343,126,-21.0
1596577609.9800806,127,-21.0
1596577618.344296,128,-20.0
1596577628.2427158,129,-19.0
1596577639.9829814,130,-18.0
1596577649.4858646,131,-21.0
1596577661.80745,132,-20.0
1596577671.3363028,133,-21.0
1596577682.2974796,134,-20.0
1596577694.0796964,135,-20.0
1596577702.314063,136,-21.0
1596577710.7881498,137,-21.0
1596577722.1418676,138,-19.0
1596577734.7101645,139,-20.0
1596577743.5777907,140,-21.0
1596577751.2358317,141,-21.0
1596577758.373482,142,-21.0
