Wall time,Step,Value
1596316100.4029188,1,-21.0
1596316108.126969,2,-21.0
1596316116.1456685,3,-21.0
1596316125.5757535,4,-20.0
1596316133.8536603,5,-21.0
1596316144.2106674,6,-19.0
1596316156.6837142,7,-17.0
1596316167.11912,8,-20.0
1596316174.9800234,9,-21.0
1596316183.829762,10,-21.0
1596316314.7824855,11,-21.0
1596316326.4949248,12,-20.0
1596316336.3245294,13,-21.0
1596316346.3279417,14,-21.0
1596316354.927972,15,-21.0
1596316365.4477837,16,-19.0
1596316375.7907927,17,-21.0
1596316386.1697626,18,-20.0
1596316396.48282,19,-21.0
1596316406.4637747,20,-21.0
1596316415.5168056,21,-21.0
1596316427.4125156,22,-20.0
1596316438.2925065,23,-21.0
1596316447.931359,24,-21.0
1596316459.3885875,25,-20.0
1596316474.3213048,26,-18.0
1596316485.0953236,27,-21.0
1596316497.3830945,28,-21.0
1596316509.862661,29,-19.0
1596316520.117302,30,-21.0
1596316530.4867942,31,-21.0
1596316544.2323706,32,-19.0
1596319507.984344,34,-8.0
1596319522.3013105,35,-19.0
1596319535.7822342,36,-18.0
1596319553.7773945,37,-18.0
1596319566.5061834,38,-21.0
1596319578.8089788,39,-21.0
1596319593.0609925,40,-19.0
1596319608.8751862,41,-20.0
1596319626.3874,42,-17.0
1596319639.572139,43,-20.0
1596319655.843319,44,-16.0
1596319672.5490406,45,-21.0
1596319695.8141334,46,-16.0
1596319713.914203,47,-20.0
1596319730.3646915,48,-19.0
1596319743.5219893,49,-19.0
1596319762.9809966,50,-19.0
1596319981.7157786,51,-17.0
1596319998.9913151,52,-17.0
1596320017.415537,53,-19.0
1596320035.9555955,54,-17.0
1596320052.9794602,55,-19.0
1596320074.0116873,56,-14.0
1596320092.6286204,57,-15.0
1596320107.93992,58,-20.0
1596320123.440526,59,-19.0
1596320144.4477568,60,-18.0
1596320169.2316754,61,-16.0
1596320195.450389,62,-16.0
1596320214.9942987,63,-19.0
1596320239.9145045,64,-17.0
1596320261.3292706,65,-18.0
1596320288.2282763,66,-15.0
1596320308.4339058,67,-20.0
1596320327.8793864,68,-18.0
1596320352.459481,69,-16.0
1596320377.8576472,70,-15.0
1596320402.9251385,71,-15.0
1596320424.256461,72,-19.0
1596320458.2571568,73,-11.0
1596320490.1033146,74,-11.0
1596320519.7050369,75,-13.0
1596320551.0093236,76,-11.0
1596320581.1049664,77,-15.0
1596320608.491241,78,-16.0
1596320643.5691202,79,-11.0
1596320672.286885,80,-15.0
1596320702.8350294,81,-13.0
1596320727.3101895,82,-16.0
1596320756.796131,83,-12.0
1596320781.6269052,84,-16.0
1596320802.3209329,85,-18.0
1596320822.9960358,86,-16.0
1596320861.1278923,87,-13.0
1596320899.8915277,88,-9.0
1596320927.552634,89,-14.0
1596320959.1585212,90,-15.0
1596321010.0156488,91,-4.0
1596321058.3567433,92,-8.0
1596321078.1787865,93,-21.0
1596321116.7766287,94,-14.0
1596321140.5545874,95,-20.0
1596321180.1863098,96,-9.0
1596321209.5328166,97,-17.0
1596321239.211445,98,-16.0
1596321273.917262,99,-16.0
1596321294.618309,100,-20.0
1596321709.2387736,101,-10.0
1596321732.8187604,102,-19.0
1596321763.1788435,103,-16.0
1596321791.7617218,104,-16.0
1596321841.825728,105,-6.0
1596321880.764611,106,-8.0
1596321911.478507,107,-18.0
1596321957.9701736,108,-6.0
1596321993.9044998,109,-9.0
1596322034.071433,110,-9.0
1596322051.455773,111,-18.0
1596322079.7895372,112,-11.0
1596322114.9622765,113,-9.0
1596322155.1402855,114,-3.0
1596322188.6544561,115,-9.0
1596322213.5795715,116,-16.0
1596322246.5483658,117,-13.0
1596322273.9470685,118,-14.0
1596322311.3331869,119,-6.0
1596322338.7753532,120,-13.0
1596322386.4130857,121,5.0
1596322424.6761842,122,-6.0
1596322454.9360678,123,-15.0
1596322480.9848459,124,-13.0
1596322505.7021704,125,-16.0
1596322540.2561195,126,-7.0
1596322586.0150251,127,-1.0
1596322626.6429896,128,-9.0
1596322658.3437126,129,-13.0
1596322681.2246668,130,-17.0
1596322713.3259292,131,-10.0
1596322762.8125203,132,2.0
1596322808.017578,133,-4.0
1596322842.3737257,134,-8.0
1596322874.9925568,135,-10.0
1596322913.543318,136,-7.0
