episode,stepsdone,stepsatlastupdate,cum_reward,time,time_elapsed,rate
1,840,0,-21.0,03/08/20 23:26:45,8.77,95.72
2,1704,1001,-21.0,03/08/20 23:26:51,5.71,151.19
3,2642,2002,-19.0,03/08/20 23:26:57,6.31,148.45
4,3535,3003,-20.0,03/08/20 23:27:03,5.96,149.56
5,4358,4004,-21.0,03/08/20 23:27:08,5.11,160.92
6,5148,5005,-21.0,03/08/20 23:27:13,5.00,157.86
7,6091,6006,-21.0,03/08/20 23:27:20,6.20,151.94
8,7095,7007,-21.0,03/08/20 23:27:26,6.31,159.02
9,8079,8008,-21.0,03/08/20 23:27:32,6.21,158.20
10,8977,8008,-21.0,03/08/20 23:27:38,6.00,149.55
11,9804,9009,-21.0,03/08/20 23:27:44,5.46,151.32
12,10563,10010,-21.0,03/08/20 23:27:48,4.79,158.31
13,11483,11011,-20.0,03/08/20 23:27:54,5.79,158.71
14,12425,12012,-20.0,03/08/20 23:28:00,6.23,150.95
15,13182,13013,-21.0,03/08/20 23:28:05,4.87,155.10
16,14115,14014,-21.0,03/08/20 23:28:11,5.83,159.98
17,15292,15015,-18.0,03/08/20 23:28:19,7.49,157.07
18,16225,16016,-19.0,03/08/20 23:28:24,5.77,161.53
19,17042,17017,-21.0,03/08/20 23:28:30,5.13,158.97
20,17943,17017,-21.0,03/08/20 23:28:35,5.58,161.35
21,18921,18018,-21.0,03/08/20 23:28:41,6.16,158.71
22,19759,19019,-20.0,03/08/20 23:28:47,5.25,159.28
23,20731,20020,-20.0,03/08/20 23:28:53,6.21,156.38
24,21671,21021,-21.0,03/08/20 23:28:59,5.89,159.38
25,22517,22022,-21.0,03/08/20 23:29:04,5.42,155.81
26,23351,23023,-20.0,03/08/20 23:29:09,5.30,157.09
27,24362,24024,-20.0,03/08/20 23:29:16,6.53,154.65
28,25261,25025,-20.0,03/08/20 23:29:22,5.72,157.11
29,26156,26026,-21.0,03/08/20 23:29:27,5.81,153.95
30,27079,27027,-20.0,03/08/20 23:29:34,6.28,146.80
31,28033,28028,-20.0,03/08/20 23:29:40,6.48,147.14
32,29064,29029,-20.0,03/08/20 23:29:47,7.00,147.06
33,29911,29029,-21.0,03/08/20 23:29:53,5.56,152.07
34,30865,30030,-21.0,03/08/20 23:29:59,6.12,155.70
35,31790,31031,-20.0,03/08/20 23:30:05,5.94,155.55
36,33177,33033,-18.0,03/08/20 23:30:14,9.00,154.08
37,34040,34034,-21.0,03/08/20 23:30:19,5.55,155.37
38,35074,35035,-19.0,03/08/20 23:30:26,6.63,155.72
39,36014,35035,-20.0,03/08/20 23:30:32,6.05,155.28
40,37038,37037,-20.0,03/08/20 23:30:39,6.66,153.65
41,38039,38038,-19.0,03/08/20 23:30:45,6.47,154.61
42,38977,38038,-21.0,03/08/20 23:30:51,6.12,152.99
43,40137,40040,-20.0,03/08/20 23:30:59,7.66,151.23
44,40924,40040,-21.0,03/08/20 23:31:04,5.12,153.54
45,41773,41041,-21.0,03/08/20 23:31:10,5.51,154.01
46,43008,42042,-19.0,03/08/20 23:31:18,8.09,152.59
47,43907,43043,-21.0,03/08/20 23:31:24,5.89,152.37
48,44853,44044,-19.0,03/08/20 23:31:30,6.19,152.78
49,45806,45045,-21.0,03/08/20 23:31:36,6.33,150.38
50,46821,46046,-20.0,03/08/20 23:32:34,6.72,112.27
51,47638,47047,-21.0,03/08/20 23:32:39,5.44,150.11
52,48562,48048,-20.0,03/08/20 23:32:45,6.12,150.82
53,49627,49049,-20.0,03/08/20 23:32:52,7.01,151.86
54,50717,50050,-19.0,03/08/20 23:33:00,7.35,148.08
55,51981,51051,-19.0,03/08/20 23:33:08,8.37,150.90
56,52887,52052,-21.0,03/08/20 23:33:14,6.07,149.14
57,53797,53053,-21.0,03/08/20 23:33:20,6.02,151.02
58,54678,54054,-20.0,03/08/20 23:33:26,5.98,147.20
59,55866,55055,-18.0,03/08/20 23:33:34,7.87,150.75
60,56847,56056,-21.0,03/08/20 23:33:40,6.55,149.67
61,58053,57057,-21.0,03/08/20 23:33:49,8.18,147.40
