episode,stepsdone,stepsatlastupdate,cum_reward,time,time_elapsed,rate
1,758,0,-21.0,01/08/20 23:08:20,12.28,61.63
2,1515,1001,-21.0,01/08/20 23:08:28,7.72,97.89
3,2299,2002,-21.0,01/08/20 23:08:36,8.02,97.66
4,3227,3003,-20.0,01/08/20 23:08:45,9.43,98.30
5,4032,4004,-21.0,01/08/20 23:08:53,8.28,97.14
6,5051,5005,-19.0,01/08/20 23:09:04,10.36,98.30
7,6260,6006,-17.0,01/08/20 23:09:16,12.47,96.86
8,7276,7007,-20.0,01/08/20 23:09:27,10.43,97.27
9,8033,8008,-21.0,01/08/20 23:09:34,7.86,96.18
10,8886,8008,-21.0,01/08/20 23:09:43,8.85,96.28
11,9879,9009,-21.0,01/08/20 23:11:54,11.86,83.67
12,10915,10010,-20.0,01/08/20 23:12:06,11.71,88.38
13,11783,11011,-21.0,01/08/20 23:12:16,9.83,88.21
14,12663,12012,-21.0,01/08/20 23:12:26,10.00,87.88
15,13440,13013,-21.0,01/08/20 23:12:34,8.60,90.25
16,14370,14014,-19.0,01/08/20 23:12:45,10.52,88.31
17,15277,15015,-21.0,01/08/20 23:12:55,10.34,87.61
18,16192,16016,-20.0,01/08/20 23:13:06,10.38,88.07
19,17100,17017,-21.0,01/08/20 23:13:16,10.31,87.96
20,17980,17017,-21.0,01/08/20 23:13:26,9.98,88.08
21,18769,18018,-21.0,01/08/20 23:13:35,9.05,87.06
22,19804,19019,-20.0,01/08/20 23:13:47,11.90,86.92
23,20742,20020,-21.0,01/08/20 23:13:58,10.88,86.14
24,21577,21021,-21.0,01/08/20 23:14:07,9.64,86.53
25,22559,22022,-20.0,01/08/20 23:14:19,11.46,85.63
26,23844,23023,-18.0,01/08/20 23:14:34,14.93,86.00
27,24782,24024,-21.0,01/08/20 23:14:45,10.77,86.98
28,25839,25025,-21.0,01/08/20 23:14:57,12.29,85.95
29,26849,26026,-19.0,01/08/20 23:15:09,12.48,80.86
30,27685,27027,-21.0,01/08/20 23:15:20,10.25,81.43
31,28587,28028,-21.0,01/08/20 23:15:30,10.37,86.90
32,29758,29029,-19.0,01/08/20 23:15:44,13.74,85.12
34,31081,31031,-8.0,02/08/20 00:05:07,5.75,81.33
35,32220,32032,-19.0,02/08/20 00:05:22,14.32,79.49
36,33307,33033,-18.0,02/08/20 00:05:35,13.48,80.57
37,34780,34034,-18.0,02/08/20 00:05:53,17.99,81.80
38,35830,35035,-21.0,02/08/20 00:06:06,12.73,82.42
39,36856,36036,-21.0,02/08/20 00:06:18,12.30,83.32
40,38007,37037,-19.0,02/08/20 00:06:33,14.25,80.70
41,39309,39039,-20.0,02/08/20 00:06:48,15.81,82.27
42,40769,40040,-17.0,02/08/20 00:07:06,17.51,83.32
43,41845,41041,-20.0,02/08/20 00:07:19,13.18,81.54
44,43195,43043,-16.0,02/08/20 00:07:35,16.27,82.91
45,44527,44044,-21.0,02/08/20 00:07:52,16.70,79.68
46,46283,46046,-16.0,02/08/20 00:08:15,23.26,75.44
47,47747,47047,-20.0,02/08/20 00:08:33,18.10,80.83
48,49064,49049,-19.0,02/08/20 00:08:50,16.45,80.00
49,50077,50050,-19.0,02/08/20 00:09:03,13.16,76.93
50,51540,51051,-19.0,02/08/20 00:12:38,19.46,93.85
51,53307,53053,-17.0,02/08/20 00:13:01,23.23,76.04
52,54700,54054,-17.0,02/08/20 00:13:18,17.27,80.58
53,56130,56056,-19.0,02/08/20 00:13:37,18.42,77.57
54,57519,57057,-17.0,02/08/20 00:13:55,18.54,74.86
55,58809,58058,-19.0,02/08/20 00:14:12,17.02,75.73
56,60503,60060,-14.0,02/08/20 00:14:34,21.03,80.50
57,61979,61061,-15.0,02/08/20 00:14:52,18.61,79.24
58,63184,63063,-20.0,02/08/20 00:15:07,15.31,78.64
59,64368,64064,-19.0,02/08/20 00:15:23,15.50,76.32
60,65984,65065,-18.0,02/08/20 00:15:44,21.01,76.89
61,67943,67067,-16.0,02/08/20 00:16:09,24.78,79.01
62,70018,69069,-16.0,02/08/20 00:16:35,26.22,79.11
63,71540,71071,-19.0,02/08/20 00:16:54,19.54,77.82
64,73455,73073,-17.0,02/08/20 00:17:19,24.92,76.82
65,75091,75075,-18.0,02/08/20 00:17:41,21.41,76.35
66,77104,77077,-15.0,02/08/20 00:18:08,26.90,74.80
67,78668,78078,-20.0,02/08/20 00:18:28,20.20,77.36
68,80190,80080,-18.0,02/08/20 00:18:47,19.44,78.22
69,82104,82082,-16.0,02/08/20 00:19:12,24.58,77.83
70,84045,83083,-15.0,02/08/20 00:19:37,25.40,76.39
71,85987,85085,-15.0,02/08/20 00:20:02,25.07,77.43
72,87608,87087,-19.0,02/08/20 00:20:24,21.33,75.95
73,90156,90090,-11.0,02/08/20 00:20:58,34.00,74.91
