episode,stepsdone,stepsatlastupdate,cum_reward,time,time_elapsed,rate
1,845,0,-21.0,04/08/20 23:28:14,9.06,93.20
2,1892,1001,-20.0,04/08/20 23:28:23,8.88,117.84
3,2759,2002,-21.0,04/08/20 23:28:31,7.84,110.49
4,3693,3003,-21.0,04/08/20 23:28:39,7.98,116.92
5,4586,4004,-20.0,04/08/20 23:28:46,7.63,116.97
6,5463,5005,-21.0,04/08/20 23:28:54,7.48,117.12
7,6444,6006,-20.0,04/08/20 23:29:03,8.75,112.06
8,7471,7007,-19.0,04/08/20 23:29:12,9.14,112.23
9,8316,8008,-21.0,04/08/20 23:29:19,7.39,114.28
10,9241,9009,-21.0,04/08/20 23:29:27,7.77,118.86
11,10025,10010,-21.0,04/08/20 23:29:33,6.52,120.05
12,10922,10010,-20.0,04/08/20 23:29:41,7.46,120.17
13,11886,11011,-20.0,04/08/20 23:29:49,7.98,120.64
14,12781,12012,-20.0,04/08/20 23:29:57,7.63,117.15
15,13722,13013,-20.0,04/08/20 23:30:04,7.94,118.32
16,14617,14014,-21.0,04/08/20 23:30:12,7.51,119.12
17,15400,15015,-21.0,04/08/20 23:30:19,6.61,118.32
18,16187,16016,-21.0,04/08/20 23:30:25,6.59,119.25
19,17307,17017,-19.0,04/08/20 23:30:35,9.39,119.21
20,18361,18018,-20.0,04/08/20 23:30:44,8.94,117.76
21,19285,19019,-20.0,04/08/20 23:30:51,7.77,118.85
22,20058,20020,-21.0,04/08/20 23:30:58,6.53,118.29
23,21049,21021,-20.0,04/08/20 23:31:06,8.30,119.32
24,21900,21021,-21.0,04/08/20 23:31:13,7.20,118.08
25,22764,22022,-20.0,04/08/20 23:31:21,7.38,117.01
26,23695,23023,-19.0,04/08/20 23:31:29,8.05,115.46
27,24455,24024,-21.0,04/08/20 23:31:35,6.43,118.01
28,25412,25025,-20.0,04/08/20 23:31:43,8.10,118.06
29,26249,26026,-21.0,04/08/20 23:31:50,7.06,118.37
30,27071,27027,-21.0,04/08/20 23:31:58,7.20,113.97
31,27954,27027,-21.0,04/08/20 23:32:05,7.60,116.04
32,28887,28028,-21.0,04/08/20 23:32:13,8.04,115.98
33,29642,29029,-21.0,04/08/20 23:32:20,6.48,116.40
34,30490,30030,-21.0,04/08/20 23:32:27,7.40,114.45
35,31509,31031,-20.0,04/08/20 23:32:36,9.26,109.97
36,32345,32032,-20.0,04/08/20 23:32:44,7.65,109.16
37,33180,33033,-21.0,04/08/20 23:32:51,7.47,111.71
38,34255,34034,-19.0,04/08/20 23:33:01,9.52,112.79
39,35097,35035,-21.0,04/08/20 23:33:08,7.38,113.90
40,35991,35035,-20.0,04/08/20 23:33:16,7.84,113.95
41,36981,36036,-20.0,04/08/20 23:33:25,8.67,114.02
42,37834,37037,-20.0,04/08/20 23:33:32,7.39,115.35
43,38862,38038,-20.0,04/08/20 23:33:41,8.99,114.23
44,39681,39039,-21.0,04/08/20 23:33:48,7.17,114.11
45,40489,40040,-21.0,04/08/20 23:33:56,7.10,113.67
46,41246,41041,-21.0,04/08/20 23:34:02,6.60,114.56
47,42125,42042,-21.0,04/08/20 23:34:10,7.71,113.94
48,42991,42042,-21.0,04/08/20 23:34:17,7.65,113.01
49,43807,43043,-21.0,04/08/20 23:34:25,7.54,108.09
50,44564,44044,-21.0,04/08/20 23:35:23,6.74,112.71
51,45384,45045,-21.0,04/08/20 23:35:30,7.34,111.65
52,46235,46046,-21.0,04/08/20 23:35:38,7.72,110.16
53,47051,47047,-21.0,04/08/20 23:35:46,7.47,109.04
54,47931,47047,-21.0,04/08/20 23:35:54,8.04,109.33
55,48693,48048,-21.0,04/08/20 23:36:01,7.01,108.53
56,49515,49049,-21.0,04/08/20 23:36:08,7.48,109.80
57,50271,50050,-21.0,04/08/20 23:36:15,7.01,107.69
58,51135,51051,-20.0,04/08/20 23:36:23,8.32,103.68
59,51895,51051,-21.0,04/08/20 23:36:30,6.80,111.58
60,52942,52052,-19.0,04/08/20 23:36:40,9.37,111.58
61,53703,53053,-21.0,04/08/20 23:36:46,6.74,112.79
62,54458,54054,-21.0,04/08/20 23:36:53,6.70,112.53
63,55400,55055,-20.0,04/08/20 23:37:01,8.36,112.54
64,56219,56056,-21.0,04/08/20 23:37:09,7.18,113.85
65,57110,57057,-20.0,04/08/20 23:37:17,7.89,112.76
66,57865,57057,-21.0,04/08/20 23:37:23,6.71,112.32
67,58655,58058,-21.0,04/08/20 23:37:30,6.99,112.80
68,59463,59059,-21.0,04/08/20 23:37:37,7.16,112.65
69,60368,60060,-21.0,04/08/20 23:37:45,8.06,112.11
70,61201,61061,-20.0,04/08/20 23:37:53,7.40,112.40
71,62177,62062,-20.0,04/08/20 23:38:02,8.68,112.32
72,63203,63063,-19.0,04/08/20 23:38:11,9.06,113.14
73,64094,64064,-20.0,04/08/20 23:38:19,7.95,111.98
74,64850,64064,-21.0,04/08/20 23:38:25,6.74,111.95
75,65701,65065,-21.0,04/08/20 23:38:33,7.62,111.56
76,66550,66066,-21.0,04/08/20 23:38:41,7.60,111.65
77,67448,67067,-21.0,04/08/20 23:38:49,8.08,110.98
78,68528,68068,-19.0,04/08/20 23:38:58,9.72,111.01
79,69392,69069,-20.0,04/08/20 23:39:06,7.83,110.23
80,70284,70070,-20.0,04/08/20 23:39:14,8.05,110.72
81,71183,71071,-20.0,04/08/20 23:39:22,8.07,111.28
82,72079,72072,-20.0,04/08/20 23:39:30,8.08,110.77
83,73051,72072,-21.0,04/08/20 23:39:39,8.88,109.35
84,73896,73073,-21.0,04/08/20 23:39:47,7.68,109.95
85,74674,74074,-21.0,04/08/20 23:39:54,7.03,110.58
86,75449,75075,-21.0,04/08/20 23:40:01,7.03,110.06
87,76332,76076,-20.0,04/08/20 23:40:09,8.01,110.12
88,77106,77077,-21.0,04/08/20 23:40:16,7.06,109.54
89,78067,77077,-20.0,04/08/20 23:40:25,8.78,109.36
90,78910,78078,-21.0,04/08/20 23:40:33,7.77,108.31
91,79876,79079,-19.0,04/08/20 23:40:41,8.84,109.18
92,80662,80080,-21.0,04/08/20 23:40:49,7.17,109.49
93,81561,81081,-21.0,04/08/20 23:40:57,8.45,106.25
94,82435,82082,-21.0,04/08/20 23:41:05,7.97,109.57
95,83379,83083,-19.0,04/08/20 23:41:14,8.77,107.57
96,84292,84084,-19.0,04/08/20 23:41:22,8.35,109.27
97,85217,85085,-20.0,04/08/20 23:41:31,8.47,109.09
98,86252,86086,-19.0,04/08/20 23:41:40,9.53,108.47
99,87285,87087,-20.0,04/08/20 23:41:50,9.50,108.64
100,88291,88088,-19.0,04/08/20 23:43:05,9.21,82.22
101,89186,89089,-20.0,04/08/20 23:43:13,8.34,107.26
102,89959,89089,-21.0,04/08/20 23:43:21,7.11,108.63
103,90746,90090,-21.0,04/08/20 23:43:28,7.30,107.66
104,91562,91091,-21.0,04/08/20 23:43:35,7.61,107.08
105,92452,92092,-20.0,04/08/20 23:43:44,8.29,107.25
106,93426,93093,-21.0,04/08/20 23:43:53,9.06,107.39
107,94214,94094,-21.0,04/08/20 23:44:00,7.32,107.57
108,94998,94094,-21.0,04/08/20 23:44:07,7.35,106.57
109,95788,95095,-21.0,04/08/20 23:44:15,7.39,106.73
110,96600,96096,-21.0,04/08/20 23:44:22,7.60,106.74
111,97463,97097,-21.0,04/08/20 23:44:31,8.05,107.06
112,98349,98098,-20.0,04/08/20 23:44:39,8.34,106.14
113,99208,99099,-21.0,04/08/20 23:44:47,8.11,105.84
114,99986,99099,-21.0,04/08/20 23:44:54,7.32,106.20
115,100990,100100,-19.0,04/08/20 23:45:04,9.41,106.54
116,101960,101101,-19.0,04/08/20 23:45:13,9.09,106.57
117,102826,102102,-20.0,04/08/20 23:45:21,8.24,104.96
118,103748,103103,-20.0,04/08/20 23:45:30,8.66,106.33
119,104763,104104,-21.0,04/08/20 23:45:39,9.50,106.75
120,105537,105105,-21.0,04/08/20 23:45:47,7.31,105.72
121,106529,106106,-19.0,04/08/20 23:45:56,9.29,106.65
122,107650,107107,-20.0,04/08/20 23:46:06,10.47,107.01
123,108572,108108,-20.0,04/08/20 23:46:15,8.94,102.98
124,109459,109109,-21.0,04/08/20 23:46:23,8.25,107.36
125,110436,110110,-21.0,04/08/20 23:46:33,9.10,107.21
126,111299,111111,-21.0,04/08/20 23:46:41,8.07,106.86
127,112242,112112,-21.0,04/08/20 23:46:49,8.85,106.48
128,113136,113113,-20.0,04/08/20 23:46:58,8.36,106.76
129,114198,114114,-19.0,04/08/20 23:47:08,9.90,107.20
130,115463,115115,-18.0,04/08/20 23:47:19,11.74,107.67
131,116476,116116,-21.0,04/08/20 23:47:29,9.50,106.49
132,117798,117117,-20.0,04/08/20 23:47:41,12.32,107.21
133,118819,118118,-21.0,04/08/20 23:47:51,9.53,107.05
134,119992,119119,-20.0,04/08/20 23:48:02,10.96,106.93
135,121258,121121,-20.0,04/08/20 23:48:14,11.78,107.37
136,122141,122122,-21.0,04/08/20 23:48:22,8.23,107.13
137,123046,122122,-21.0,04/08/20 23:48:30,8.47,106.69
138,124265,124124,-19.0,04/08/20 23:48:42,11.35,107.28
139,125619,125125,-20.0,04/08/20 23:48:54,12.57,107.66
140,126569,126126,-21.0,04/08/20 23:49:03,8.87,107.03
141,127390,127127,-21.0,04/08/20 23:49:11,7.66,107.09
142,128152,128128,-21.0,04/08/20 23:49:18,7.14,106.62
143,128909,128128,-21.0,04/08/20 23:49:25,7.11,106.26
144,129667,129129,-21.0,04/08/20 23:49:32,7.07,107.06
145,130429,130130,-21.0,04/08/20 23:49:39,7.14,106.56
146,131189,131131,-21.0,04/08/20 23:49:46,7.21,105.22
147,131946,131131,-21.0,04/08/20 23:49:54,7.17,105.46
148,132701,132132,-21.0,04/08/20 23:50:01,7.07,106.59
149,133463,133133,-21.0,04/08/20 23:50:08,7.15,106.38
150,134224,134134,-21.0,04/08/20 23:51:40,7.19,105.47
151,134980,134134,-21.0,04/08/20 23:51:47,7.19,104.98
152,135740,135135,-21.0,04/08/20 23:51:54,7.04,107.86
153,136495,136136,-21.0,04/08/20 23:52:01,7.14,105.58
154,137250,137137,-21.0,04/08/20 23:52:08,7.10,106.25
155,138008,137137,-21.0,04/08/20 23:52:15,7.12,106.35
156,138874,138138,-20.0,04/08/20 23:52:24,8.10,106.84
157,139633,139139,-21.0,04/08/20 23:52:31,7.09,106.90
158,140490,140140,-20.0,04/08/20 23:52:39,8.07,106.12
159,141251,141141,-21.0,04/08/20 23:52:46,7.09,107.15
160,142012,141141,-21.0,04/08/20 23:52:53,7.15,106.31
161,142767,142142,-21.0,04/08/20 23:53:00,7.12,105.89
162,143526,143143,-21.0,04/08/20 23:53:07,7.16,105.93
163,144283,144144,-21.0,04/08/20 23:53:14,7.14,105.90
164,145039,144144,-21.0,04/08/20 23:53:21,7.09,106.49
165,145801,145145,-21.0,04/08/20 23:53:29,7.12,106.86
166,146695,146146,-20.0,04/08/20 23:53:37,8.43,105.98
167,147574,147147,-21.0,04/08/20 23:53:45,8.28,106.09
168,148334,148148,-21.0,04/08/20 23:53:52,7.16,106.07
169,149180,149149,-21.0,04/08/20 23:54:00,8.00,105.56
170,150060,149149,-21.0,04/08/20 23:54:09,8.25,106.55
171,150879,150150,-21.0,04/08/20 23:54:16,7.68,106.47
172,151634,151151,-21.0,04/08/20 23:54:23,7.09,106.32
173,152452,152152,-21.0,04/08/20 23:54:31,7.74,105.54
174,153212,153153,-21.0,04/08/20 23:54:38,7.15,106.14
175,154335,154154,-19.0,04/08/20 23:54:49,10.56,106.21
176,155355,155155,-21.0,04/08/20 23:54:58,9.58,106.31
177,156257,156156,-21.0,04/08/20 23:55:07,8.54,105.47
178,157430,157157,-19.0,04/08/20 23:55:18,11.12,105.43
179,158653,158158,-18.0,04/08/20 23:55:30,11.64,104.97
180,159765,159159,-20.0,04/08/20 23:55:40,10.49,105.90
181,160605,160160,-21.0,04/08/20 23:55:48,7.90,106.15
182,161438,161161,-20.0,04/08/20 23:55:56,8.03,103.66
183,162301,162162,-21.0,04/08/20 23:56:04,8.09,106.52
184,163257,163163,-21.0,04/08/20 23:56:13,8.94,106.85
185,164265,164164,-19.0,04/08/20 23:56:23,9.44,106.71
