episode,stepsdone,stepsatlastupdate,cum_reward,time,time_elapsed,rate
1,937,0,-21.0,02/08/20 13:46:22,10.52,89.01
2,1777,1001,-21.0,02/08/20 13:46:31,8.39,99.94
3,2535,2002,-21.0,02/08/20 13:46:39,7.95,95.26
4,3539,3003,-20.0,02/08/20 13:46:50,10.77,93.11
5,4688,4004,-19.0,02/08/20 13:47:02,11.92,96.33
6,5659,5005,-21.0,02/08/20 13:47:12,10.08,96.23
7,6565,6006,-21.0,02/08/20 13:47:21,9.06,99.93
8,7622,7007,-19.0,02/08/20 13:47:32,10.78,97.97
9,8537,8008,-20.0,02/08/20 13:47:41,8.98,101.81
10,9684,9009,-19.0,02/08/20 13:47:52,10.94,104.74
11,10625,10010,-21.0,02/08/20 13:48:00,8.79,106.97
12,11520,11011,-21.0,02/08/20 13:48:09,8.26,108.27
13,12525,12012,-19.0,02/08/20 13:48:18,9.80,102.49
14,13522,13013,-19.0,02/08/20 13:48:28,9.58,103.92
15,14445,14014,-20.0,02/08/20 13:48:37,9.27,99.49
16,15231,15015,-21.0,02/08/20 13:48:45,7.37,106.46
17,16577,16016,-20.0,02/08/20 13:48:57,12.44,108.12
18,17457,17017,-21.0,02/08/20 13:49:05,7.90,111.24
19,18576,18018,-18.0,02/08/20 13:49:15,10.29,108.64
20,19506,19019,-19.0,02/08/20 13:49:24,8.82,105.37
21,20371,20020,-20.0,02/08/20 13:49:32,7.93,108.91
22,21204,21021,-20.0,02/08/20 13:49:40,7.74,107.51
23,22289,22022,-19.0,02/08/20 13:49:50,10.42,104.04
24,23329,23023,-20.0,02/08/20 13:50:00,9.99,103.95
25,24482,24024,-19.0,02/08/20 13:50:12,11.53,99.92
26,25515,25025,-20.0,02/08/20 13:50:22,10.48,98.49
27,26304,26026,-21.0,02/08/20 13:50:30,7.31,107.83
28,27167,27027,-20.0,02/08/20 13:50:37,7.91,109.00
29,28139,28028,-20.0,02/08/20 13:50:46,8.81,110.18
